Latitude,Longitude,Depth_km,Magnitude,Cluster
39.4639,142.7562,35.0,4.8,2
3.0448,128.8654,10.0,4.5,3
60.5503,-140.119,5.0,3.3,1
39.5984,143.3045,27.735,4.8,2
62.705,-149.279,59.6,2.5,1
51.249,-170.451,24.7,3.2,1
51.307,-176.476,12.4,3.0,1
36.174833333333,-89.381333333333,6.11,2.52,1
1.1328,123.344,10.0,4.5,3
-20.6323,-63.1477,553.819,5.3,0
51.518,-175.316,26.9,2.5,1
55.3497,165.3096,10.0,4.3,2
43.7544,-105.3628,0.0,3.1,1
40.547,-120.69383333333,7.35,2.68,1
53.365,-163.374,21.9,3.0,1
60.127,-152.73,106.3,2.5,1
62.23,-149.872,52.2,2.9,1
63.122,-150.868,124.2,2.7,1
6.2037,126.8425,80.527,4.5,3
60.402,-139.5749,5.0,2.7,1
-8.2285,-75.0877,104.348,4.1,3
64.637,-138.663,0.0,3.3,1
35.5299,35.3086,10.0,4.4,2
45.9826,150.8201,129.505,4.3,2
4.7394,97.0968,13.532,4.2,3
53.1542,159.433,70.641,4.2,2
4.6976,96.901,10.182,4.6,3
10.7262,125.3714,10.0,4.6,2
60.103,-152.493,93.9,2.5,1
-27.9645,-66.6791,153.343,4.3,3
60.5741,-139.9036,5.0,2.9,1
60.445,-139.558,3.0,2.6,1
22.7745,142.4843,128.123,4.1,2
63.221,-150.659,130.1,2.5,1
19.4095,-155.624,-0.82,2.52,1
-7.0521,155.195,10.0,5.1,3
60.3984,-139.5899,5.0,2.6,1
60.366,-139.4407,5.0,2.9,1
31.3603,-114.0453,10.0,2.9,1
-18.1477,-178.3075,536.568,4.5,0
56.877,-156.085,73.7,2.7,1
60.413,-139.52,4.1,2.6,1
60.438,-139.514,0.4,2.5,1
60.457,-139.447,2.9,2.5,1
60.4206,-139.56,5.0,5.1,2
-28.5329,-71.3386,29.215,4.0,3
51.321,179.26,40.6,3.1,2
40.445166666667,-124.71166666667,23.38,2.63,1
52.5879,161.1466,26.043,4.3,2
27.5551,128.5811,41.781,4.4,2
27.549,128.7241,11.0,5.5,2
-31.415,-67.7291,10.0,4.5,3
51.8969,178.568,98.161,3.7,2
31.949,-101.459,8.9111,2.6,1
31.953,-101.465,8.7158,2.9,1
31.946,-101.462,8.8379,2.5,1
18.895333333333,-67.544833333333,26.63,3.26,1
