Region,Forecast_30_Days,Average_Daily,Risk
Alaska,931.2994333736486,31.043314445788287,Very High
Russia,155.29887799484595,5.176629266494865,Very High
Indonesia,109.31058696754334,3.643686232251445,Very High
CA,105.40636665163031,3.5135455550543435,Very High
Japan,101.37459411664724,3.3791531372215746,Very High
Puerto Rico,57.169281655503355,1.9056427218501117,Moderate
Philippines,48.23585589067888,1.6078618630226293,Moderate
Papua New Guinea,46.3411182447918,1.5447039414930601,Moderate
Chile,44.62567089970096,1.4875223633233652,Moderate
Tonga,35.86752030973834,1.1955840103246114,Moderate
